C. & S.,Basic data and indicators,Country Code,Units,Notes,Series,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
4-1.33,AFGHANISTAN,AFG,US$ Millions,,IMF,167,179,121,86,62,16,50,85,75,..,..,
8-1.33,ALBANIA,ALB,US$ Millions,,IMF,"1,623","1,670","1,849","1,613","1,821","2,050","2,306","2,458","1,243","2,480","3,255",
12-1.33,ALGERIA,DZA,US$ Millions,,IMF,295,326,316,347,246,171,196,140,50,79,219,1/ 1995-2004: country data.
16-1.33,AMERICAN SAMOA,ASM,US$ Millions,,..,..,..,..,..,..,..,..,..,..,..,..,1/ Source: South Pacific Tourism Organisation - Regional Tourism Resource Centre.
20-1.33,ANDORRA,AND,US$ Millions,,IMF,..,..,..,..,..,..,..,"1,910","1,351","1,893",..,
24-1.33,ANGOLA,AGO,US$ Millions,,IMF,711,"1,241","1,597","1,171",628,884,557,395,19,23,24,1/ 1995-2001: country data.
660-1.33,ANGUILLA,AIA,US$ Millions,,IMF,..,..,137,142,147,153,127,177,52,63,140,
28-1.33,ANTIGUA AND BARBUDA,ATG,US$ Millions,,IMF,..,..,803,802,844,820,855,994,430,556,818,
32-1.33,ARGENTINA,ARG,US$ Millions,,IMF,"5,665","5,199","5,645","5,441","5,466","5,830","5,999","5,654","1,793",433,"3,694","1/  Starting 2004, as a result of the importance of the “Survey on International Tourism”, the estimates of the series of the “Travel” item of the Balance of Payments were modified. For this reason, the data are not rigorously comparable with those of previous years."
51-1.33,ARMENIA,ARM,US$ Millions,,IMF,853,905,994,956,"1,037","1,224","1,358","1,553",297,813,"2,513",
533-1.33,ARUBA,ABW,US$ Millions,,IMF,"1,412","1,506","1,625","1,659","1,757","1,855","2,035","2,109","1,079","1,788","2,305",
36-1.33,AUSTRALIA,AUS,US$ Millions,,IMF,"34,137","35,159","37,996","36,249","39,059","43,990","47,327","47,953","26,235","17,132","24,214",
40-1.33,AUSTRIA,AUT,US$ Millions,,IMF,..,..,..,"20,422","20,965","22,424","25,413","25,932","15,194","11,411","19,175",
31-1.33,AZERBAIJAN,AZE,US$ Millions,,IMF,"2,634","2,618","2,713","2,535","2,855","3,214","2,830","2,004",340,368,942,
44-1.33,BAHAMAS,BHS,US$ Millions,,IMF,"2,333","2,305","2,336","2,554","3,091","2,951","3,756","4,150",972,"2,334","3,524",
48-1.33,BAHRAIN,BHR,US$ Millions,1/,IMF,"1,752","1,875","1,913","2,827","4,021","4,380","3,834","3,860",724,"1,886","3,886","1/ From 2015 the expenditure figures used were the ones provided by the country to UNWTO, as this data series is more complete than that provided by the International Monetary Fund (IMF)."
50-1.33,BANGLADESH,BGD,US$ Millions,,IMF,105,131,154,150,214,348,357,391,218,273,420,
52-1.33,BARBADOS,BRB,US$ Millions,,IMF,947,988,910,974,"1,071","1,081","1,118","1,250",578,627,929,"1/ From 2017: the expenditure figures are those provided by the country to UNWTO, which do not appear in the International Monetary Fund data used in the preparation of this edition of the Compendium."
112-1.33,BELARUS,BLR,US$ Millions,,IMF,986,"1,156","1,230","1,013","1,019","1,125","1,221","1,290",546,662,..,
56-1.33,BELGIUM,BEL,US$ Millions,,IMF,"13,704","14,534","15,249","8,975","8,784","9,636","10,319","10,516","7,227","7,336","8,737",1/ 1995-2000: country data.
84-1.33,BELIZE,BLZ,US$ Millions,,IMF,..,..,..,..,..,..,..,..,..,..,599,
204-1.33,BENIN,BEN,US$ Millions,,IMF,174,193,153,148,129,160,175,241,203,247,..,
60-1.33,BERMUDA,BMU,US$ Millions,,IMF,448,447,407,370,440,513,583,601,94,143,..,1/ 1995-2005: country data.
64-1.33,BHUTAN,BTN,US$ Millions,1/,IMF,93,116,99,120,139,153,121,120,84,4,0.2,1/ 1995-2005: country data.
68-1.33,"BOLIVIA, PLURINATIONAL STATE OF",BOL,US$ Millions,,IMF,631,639,746,810,827,928,948,977,240,269,706,
534-1.33,BONAIRE,BES,US$ Millions,,..,..,..,..,..,..,..,..,..,..,..,..,1/ Source: Central Bank of the Netherlands Antilles.
70-1.33,BOSNIA AND HERZEGOVINA,BIH,US$ Millions,,IMF,686,752,755,794,875,984,"1,147","1,225",443,"1,003","1,464",
72-1.33,BOTSWANA,BWA,US$ Millions,,IMF,461,484,529,534,505,542,584,712,117,275,374,
76-1.33,BRAZIL,BRA,US$ Millions,,IMF,"6,623","6,784","7,405","6,254","6,613","6,175","6,324","6,127","3,099","3,005","4,968",
92-1.33,BRITISH VIRGIN ISLANDS,VGB,US$ Millions,1/,country,398,421,459,484,..,..,..,..,..,..,..,"1/ The expenditure figures are those provided by the country to UNWTO, which do not appear in the International Monetary Fund data."
96-1.33,BRUNEI DARUSSALAM,BRN,US$ Millions,,..,..,..,..,..,..,..,..,..,..,30,118,
100-1.33,BULGARIA,BGR,US$ Millions,,IMF,"3,975","4,410","4,518","3,568","4,148","4,663","5,061","4,832","1,861","2,734","3,701",
854-1.33,BURKINA FASO,BFA,US$ Millions,,IMF,128,200,183,152,172,172,179,173,128,145,..,
108-1.33,BURUNDI,BDI,US$ Millions,,IMF,..,..,..,..,..,..,..,..,..,..,..,
132-1.33,CABO VERDE,CPV,US$ Millions,,IMF,452,483,453,380,397,451,520,567,169,145,400,
116-1.33,CAMBODIA,KHM,US$ Millions,,IMF,"2,663","2,895","3,220","3,419","3,523","4,024","4,832","5,312","1,119",197,"1,529",
120-1.33,CAMEROON,CMR,US$ Millions,,IMF,377,607,629,476,508,544,633,681,437,508,..,
124-1.33,CANADA,CAN,US$ Millions,,IMF,..,..,..,..,..,..,..,..,..,..,..,
136-1.33,CAYMAN ISLANDS,CYM,US$ Millions,1/,IMF,489,500,565,680,708,832,911,964,260,46,..,1/ 1995-2015: country data.
140-1.33,CENTRAL AFRICAN REPUBLIC,CAF,US$ Millions,1/,CB,15,28,28,16,22,25,22,22,31,..,..,"1/ Source: ""Banque des États de l'Afrique Centrale (B.E.A.C.)"". 2003, 2004, 2009-2013: country data."
148-1.33,CHAD,TCD,US$ Millions,1/,CB,..,..,..,..,..,..,..,..,..,..,..,"1/ Source: ""Banque des États de l'Afrique Centrale (B.E.A.C.)""."
152-1.33,CHILE,CHL,US$ Millions,,IMF,"3,185","3,192","3,221","3,428","3,762","4,136","3,937","3,316",841,535,"1,907",
156-1.33,CHINA,CHN,US$ Millions,,IMF,..,..,..,..,..,..,..,..,..,..,..,
170-1.33,COLOMBIA,COL,US$ Millions,,IMF,"4,409","4,819","4,941","5,281","5,631","5,899","6,655","6,784","1,932","3,239","7,321",
