Country,Nineteen_Inbound_Arrivals,TwentyOne_Inbound_Arrivals,Nineteen_Tourism_GDP_Cont,Twentyone_Tourism_GDP_Cont
AUSTRALIA,9466,246,2.4,1.6
BERMUDA,805,86.4,5.1,2.2
CANADA,32430,4282.1,2.1,1
COLOMBIA,4531,2146,2.6,1.6
ECUADOR,2108,669,2.3,1.2
ESWATINI,1226,210.7,1.2,0.7
GREECE,34005,15246,7.3,6
ISRAEL,4905,402,2.6,1.1
MALAYSIA,35046,399,6.8,0.8
MONTSERRAT,19.3,1.6,1.8,0.5
NEW ZEALAND,3888,207,5.6,2.9
OMAN,3506,652,2.9,2.4
SAUDI ARABIA,20292,3869,3.8,2.1
UNITED ARAB EMIRATES,25282,12784,6.1,6.2
